stim_id,block,stim,group,group_note
1,0,猫咪,1,动物
2,0,大鱼,1,动物
3,0,小狗,1,动物
4,1,鸟儿,1,动物
5,1,蚂蚁,1,动物
6,1,猴子,1,动物
7,2,松鼠,1,动物
8,2,白兔,1,动物
9,2,公鸡,1,动物
10,3,企鹅,1,动物
11,3,蜗牛,1,动物
12,3,青蛙,1,动物
13,4,斑马,1,动物
14,4,刺猬,1,动物
15,4,蝌蚪,1,动物
16,5,狐狸,1,动物
17,5,猎豹,1,动物
18,5,乌龟,1,动物
19,6,山羊,1,动物
20,6,老虎,1,动物
21,6,骆驼,1,动物
22,0,苹果,2,水果
23,0,香蕉,2,水果
24,0,雪梨,2,水果
25,1,桃子,2,水果
26,1,菠萝,2,水果
27,1,葡萄,2,水果
28,2,西瓜,2,水果
29,2,草莓,2,水果
30,2,石榴,2,水果
31,3,柚子,2,水果
32,3,柠檬,2,水果
33,3,金桔,2,水果
34,4,荔枝,2,水果
35,4,榴莲,2,水果
36,4,樱桃,2,水果
37,5,芒果,2,水果
38,5,柿子,2,水果
39,5,油桃,2,水果
40,6,橙子,2,水果
41,6,山楂,2,水果
42,6,杨梅,2,水果
43,0,摩托,3,交通工具
44,0,汽车,3,交通工具
45,0,地铁,3,交通工具
46,1,动车,3,交通工具
47,1,轮船,3,交通工具
48,1,火车,3,交通工具
49,2,飞机,3,交通工具
50,2,巴士,3,交通工具
51,2,吉普,3,交通工具
52,3,轿车,3,交通工具
53,3,电车,3,交通工具
54,3,高铁,3,交通工具
55,4,大巴,3,交通工具
56,4,马车,3,交通工具
57,4,轿子,3,交通工具
58,5,卡车,3,交通工具
59,5,货车,3,交通工具
60,5,邮轮,3,交通工具
61,6,帆船,3,交通工具
62,6,警车,3,交通工具
63,6,木船,3,交通工具
64,0,围巾,4,穿戴
65,0,短裤,4,穿戴
66,0,秋裤,4,穿戴
67,1,手套,4,穿戴
68,1,靴子,4,穿戴
69,1,雨鞋,4,穿戴
70,2,皮鞋,4,穿戴
71,2,袜子,4,穿戴
72,2,裙子,4,穿戴
73,3,外套,4,穿戴
74,3,毛衣,4,穿戴
75,3,棉衣,4,穿戴
76,4,吊带,4,穿戴
77,4,帽子,4,穿戴
78,4,风衣,4,穿戴
79,5,背心,4,穿戴
80,5,衬衫,4,穿戴
81,5,雨衣,4,穿戴
82,6,卫衣,4,穿戴
83,6,夹克,4,穿戴
84,6,马甲,4,穿戴
